2025-12-14 20:42:19.365 [|0HNHR4CGH0HLA:00000001|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/api/Item" responded 200 in 17256.9806 ms
2025-12-14 20:42:24.901 [|0HNHR4CGH0HLA:00000002|ePizza.API.Controllers.CartController] started the get Item Count execution method inside the cart controller2ff3f2cc-8de7-4946-962a-6d6bdcd6fbd9
2025-12-14 20:42:26.217 [|0HNHR4CGH0HLA:00000002|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/api/Cart/get-item-count" responded 200 in 1399.9357 ms
2025-12-14 20:43:16.596 [|0HNHR4CGH0HLA:00000003|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "POST" "/api/Cart/add-items" responded 200 in 4321.7358 ms
2025-12-14 20:43:16.824 [|0HNHR4CGH0HLA:00000004|ePizza.API.Controllers.CartController] started the get Item Count execution method inside the cart controller2ff3f2cc-8de7-4946-962a-6d6bdcd6fbd9
2025-12-14 20:43:17.069 [|0HNHR4CGH0HLA:00000004|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/api/Cart/get-item-count" responded 200 in 264.9365 ms
2025-12-14 20:43:20.580 [|0HNHR4CGH0HLA:00000005|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "POST" "/api/Cart/add-items" responded 200 in 295.7096 ms
2025-12-14 20:43:20.732 [|0HNHR4CGH0HLA:00000006|ePizza.API.Controllers.CartController] started the get Item Count execution method inside the cart controller2ff3f2cc-8de7-4946-962a-6d6bdcd6fbd9
2025-12-14 20:43:20.829 [|0HNHR4CGH0HLA:00000006|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/api/Cart/get-item-count" responded 200 in 99.2730 ms
2025-12-14 20:43:35.566 [|0HNHR4CGH0HLA:00000007|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/api/Token/getToken/admin@gmail.com/Admin@12345678" responded 200 in 4057.2409 ms
2025-12-14 20:43:39.334 [|0HNHR4CGH0HLA:00000008|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/api/Item" responded 200 in 399.3139 ms
2025-12-14 20:43:39.828 [|0HNHR4CGH0HLA:00000009|ePizza.API.Controllers.CartController] started the get Item Count execution method inside the cart controller2ff3f2cc-8de7-4946-962a-6d6bdcd6fbd9
2025-12-14 20:43:39.902 [|0HNHR4CGH0HLA:00000009|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/api/Cart/get-item-count" responded 200 in 89.3245 ms
2025-12-14 20:49:03.101 [DELL|0HNHR4G7PDJEM:00000001|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/api/Item" responded 200 in 17856.0570 ms
2025-12-14 20:49:07.436 [DELL|0HNHR4G7PDJEM:00000002|ePizza.API.Controllers.CartController] started the get Item Count execution method inside the cart controller2ff3f2cc-8de7-4946-962a-6d6bdcd6fbd9
2025-12-14 20:49:08.627 [DELL|0HNHR4G7PDJEM:00000002|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/api/Cart/get-item-count" responded 200 in 1365.7527 ms
2025-12-14 20:50:14.924 [DELL|0HNHR4G7PDJEM:00000003|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "POST" "/api/Cart/add-items" responded 200 in 4683.0025 ms
2025-12-14 20:50:15.045 [DELL|0HNHR4G7PDJEM:00000004|ePizza.API.Controllers.CartController] started the get Item Count execution method inside the cart controller2ff3f2cc-8de7-4946-962a-6d6bdcd6fbd9
2025-12-14 20:50:15.089 [DELL|0HNHR4G7PDJEM:00000004|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/api/Cart/get-item-count" responded 200 in 59.9641 ms
2025-12-14 20:50:19.252 [DELL|0HNHR4G7PDJEM:00000005|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "POST" "/api/Cart/add-items" responded 200 in 81.2425 ms
2025-12-14 20:50:19.295 [DELL|0HNHR4G7PDJEM:00000006|ePizza.API.Controllers.CartController] started the get Item Count execution method inside the cart controller2ff3f2cc-8de7-4946-962a-6d6bdcd6fbd9
2025-12-14 20:50:19.310 [DELL|0HNHR4G7PDJEM:00000006|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/api/Cart/get-item-count" responded 200 in 16.9816 ms
2025-12-14 20:50:45.824 [DELL|0HNHR4G7PDJEN:00000001|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "POST" "/api/Cart/add-items" responded 200 in 1530.4770 ms
2025-12-14 20:50:45.901 [DELL|0HNHR4G7PDJEN:00000002|ePizza.API.Controllers.CartController] started the get Item Count execution method inside the cart controller2ff3f2cc-8de7-4946-962a-6d6bdcd6fbd9
2025-12-14 20:50:45.952 [DELL|0HNHR4G7PDJEN:00000002|Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/api/Cart/get-item-count" responded 200 in 54.7923 ms
